KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
ALI_communist;Exploit Faction;Faction de l'Exploit;Fraktion der Ausbeutung;Frakcja Eksploatowania;Facción de la Explotación;Fazione Sfruttamento;Az Exploit frakciója;Frakce vıvoje;Az Exploit frakciója;Faction of the Exploit;Facção do Vantagem;Ôğàêöèÿ Èñïîëüçîâàòÿ;Exploitin fraktio;x
ALI_conservative;Green Faction;Faction des Verts;Fraktion der Grünen;Zielona Frakcja;Facción Verde;Fazione Verde;A Zöldek frakciója;Frakce zelenıch;A Zöldek frakciója;Faction of the Greens;Facção Verde;Çåëåíàÿ Ôğàêöèÿ;Vihreiden fraktio;x
ALI_fascist;Synthetic Faction;Faction des Synthétiques;Fraktion der Syntheten;Syntetyczna Frakcja;Facción Sintética;Fazione Sintetica;A Szintetikus frakciója;Frakci syntetiky;A Szintetikus frakciója;Faction of the Synthetics;Facção Sintética;Ôğàêöèÿ ×åğíîé Äûğû;Synteettisistä fraktio;x
ALI_liberal;Yun Key Faction;Faction de Jean Qui;Fraktion von Jan Kih;Janekska Frakcja;Facción Yanqui;Fazione Gian Chi;Yan kulcs frakciója;Frakce Yan Key;Yan kulcs frakciója;Faction of Yan Key;Facção Ianque;Ôğàêöèÿ ßíêè;Yan-avaimen fraktio;x
ALI_reactionary;Xenu Faction;Faction de Xénou;Fraktion von Xenu;Frakcja Xenu;Facción de Xenu;Fazione Xenu;Xenu frakciója;Xenuova frakce;Xenu frakciója;Xenu's Faction;Facção de Xenu;Ôğàêöèÿ Êñåíó;Xenan fraktio;x
ALI_socialist;Nordic Faction;Faction des Nordiques;Fraktion der Nördlichen;Nordycka Frakcja;Facción Nórdica;Fazione Nordica;A Nordiques frakciója;Frakce Nordiques;A Nordiques frakciója;Faction of the Nordiques;Facção Nórdica;Ñêàíäèíàâñêàÿ Ôğàêöèÿ;Nordiquesin fraktio;x
ALN;Alania;Alanie;Alanien;Alanija;Alania;Alania;Alania;Alania;Alania;Alania;Alânia;Àëàíèÿ;Alania;x
ALN_ADJ;Alan;Alain;Alanisch;alañsk;Alana;Alana;Alan;Alan;Alan;Alan;Alano;àëàíñê;Alan;x
ALS;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Elzász;Alsace;Elzász;Elzas;Alsácia;İëüçàñ;Elsass;x
ALS_ADJ;Alsatian;Alsacien;Elsässisch;Alzacji;Alsaza;Alsaziana;elzászi;vlcák;elzászi;Elzasser;Alsaciano;İëüçàññê;saksanpaimenkoira;x
ALT;Altai;Altaï;Altai;A³taj;Altái;Altaj;Altai;Altai;Altai;Altai;Altai;Àëòàé;Altai;x
ALT_ADJ;Altai;Altaïen;Altaisch;a³tajsk;Altái;Altaica;Altai;Altai;Altai;Altai;Altaico;àëòàéñê;altai;x
ALW;The Alawites;Alaouites;Alawitenstaat;Alawici;Los Alauitas;Alauiti;Alaviták;Alawites;Alaviták;Alawieten;Os Alauitas;Àëàâèòû;Alawites;x
ALW_ADJ;Alawite;Alaouite;Alawiten-;alawick;Alauita;Alauita;Alawite;Alawite;Alawite;Alawieten;Alauita;àëàâèòîâñê;Alawite;x
ANA;Anatolia;Anatolie;Anatolien;Anatolia;Anatolia;Anatolia;Anatólia;Anatolie;Anatólia;Anatolië;Anatólia;Àíàòîëèÿ;Anatolia;x
ANA_ADJ;Anatolian;anatolienne;Anatolisch;anatolijsk;Anatolia;Anatolica;Anatóliai;Anatolsk;Anatóliai;Anatolisch;Anatólio;àíàòîëèéñê;Anatolialainen;x
ANA_democracy;The Anatolian Republic;La République d'Anatolie;Die Anatolische Republik;Anatolijska Republika;La República de Anatolia;La Repubblica Anatolica;Az Anatóliai Köztársaság;Anatolská Republika;Az Anatóliai Köztársaság;De Anatolische Republiek;A República da Anatólia;Àíàòîëèéñêàÿ Ğåñïóáëèêà;Anatolian tasavalta;x
AND_absolute_monarchy;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_ADJ;Andhran;de l'Andhra;Andhra;Andhry;de Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;de Andra;Àíäõğàéñê;Andhra;x
AND_bourgeois_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_democracy;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_fascist_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_hms_government;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_nogovernment;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andra;Àíäõğà;Andhra;x
AND_presidential_dictatorship;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäõğà;Andhra;x
AND_proletarian_dictatorship;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäõğà;Andhra;x
AND_prussian_constitutionalism;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäõğà;Andhra;x
AND_theocracy;Andhra;de l'Andhra;Andhra;Andhra;Andhra;di Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Àíäõğà;Andhra;x
ANG;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Angola;Àíãîëà;Angola;x
ANG_ADJ;Angolan;Angolais;Angolanisch;angolsk;Angoleña;Angolana;angolai;Angolan;angolai;Angolese;Angolano;àíãîëüñê;Angolan;x
ANT;Antigua and Barbuda;Antigua-et-Barbuda;Antigua und Barbuda;Antigua i Barbuda;Antigua y Barbuda;Antigua e Barbuda;Antigua és Barbuda;Antigua a Barbuda;Antigua és Barbuda;Antigua en Barbuda;Antígua e Barbuda;Àíòèãóà è Áàğáóäà;Antigua ja Barbuda;x
ANT_ADJ;Antiguan;Antiguayen;Antiguanisch;antiguañsko-barbudzk;Antiguana;Antiguo-Barbudana;antiguai;Antiguan;antiguai;Antiguan;Antiguano;àíòèãóàíñê;Antiguan;x
AOM;Macao;Macao;Macau;Makau;Macao;Macao;Macao;Macau;Macao;Macau;Macau;Ìàêàî;Macao;x
AOM_ADJ;Macanese;Macanaise;Macauer;Makausk.;de Macao;di Macao;Macauan;Macauán;Macauan;Macauan;Macaense;ìàêàíñê;Macauan;x
AOM_proletarian_dictatorship;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Aomen;Àîìıíü;Aomen;x
AOM_proletarian_dictatorship_ADJ;Aomen;d'Aomen;Aomen-;Aomensk.;de Aomen;di Aomen;Aomen;Aomen;Aomen;Aomen;de Aomen;àîìıíüñê;Aomen;x
AOT;Aotearoa;Aotéaroa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;Àîòåàğîà;Aotearoa;x
AOT_ADJ;Aotearoa;d'Aotéaroa;Aotearoa-;Aotearoy;de Aotearoa;di Aotearoa;Aotearoa;Aotearoa;Aotearoa;Aotearoa;de Aotearoa;àîòåàğîàíñê;Aotearoa;x
APA;The Apache;Apaches;Apachen;Apacze;Los Apaches;Apaci;Apache;Apache;Apache;Apache;Os Apaches;Àïà÷è;Apache;x
APA_ADJ;Apache;Apache;Apache;Apaczów;Apache;Apaci;Apache;Apache;Apache;Apache;Apache;Àïà÷ñê;Apache;x
AQU;Aquileia;Aquilée;Aglar;Akwileja;Aquilea;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Àêâèëåÿ;Aquileia;x
AQU_ADJ;Aquileian;Aquiléais;Aglarisch;akwilejsk;de Aquilea;Aquileiese;Aquileian;Aquileian;Aquileian;Aquileian;de Aquileia;àêâèëåéñê;Aquileian;x
ARN;Aragon;Aragon;Aragon;Aragonia;Aragón;Aragona;Aragon;Aragon;Aragon;Aragon;Aragão;Àğàãîí;Aragon;x
ARN_ADJ;Aragonese;Aragonais;Aragonisch;Aragonii;Aragonesa;Aragonese;Aragóniaiak;Aragonian;Aragóniaiak;Aragonian;Aragonês;Àğàãîíñê;Aragonian;x
ARO;The Aro;Aro;Aro;Aro;Los Aros;Aro;Aro;Aro;Aro;Aro;Aro;Àğî;Aro;x
ARO_ADJ;Aro;d'Aro;Aro-;Aro-;Aro;di Aro;Aro;Aro;Aro;Aro;Aro;àğîâñê;Aro;x
ARP;The Arapaho;Arapahos;Arapaho;Arapaho;Los Arapajós;Arapaho;arapaho;Arapaho;arapaho;Arapaho;Os Arapahos;Àğàïàõî;Arapaho;x
ARP_ADJ;Arapaho;Arapaho;Arapaho;Arapaho;Arapajó;degli Arapaho;arapaho;Arapaho;arapaho;Arapaho;Arapaho;Àğàïàõîéñê;Arapaho;x
ARU;The Arab Union;L'Union Arabe;Die Arabische Union;Unia Arabska;La Unión Árabe;L'Unione Araba;az Arab Unió;Arabskou Unii;az Arab Unió;de Arabische Unie;A União Árabe;Àğàáñêèé Ñîşç;arabivaltio;x
ARU_ADJ;Arab;Arabe;Arabisch;arabsk;Árabe;Araba;arab;Arab;arab;Arabisch;Árabe;àğàáñê;arabi;x
ARW;The Arawak;Aroüagues;Arawak;Arawakowie;Los Arahuacos;Aruachi;Arawak;Arawak;Arawak;Arawak;Os Aruaques;Àğàâàêè;Arawak;x
ARW_ADJ;Arawak;Aroüague;Arawak;arawack;Arahuaca;Aruaca;Arawak;Arawak;Arawak;Arawak;Aruaque;àğàâàêîâñê;Arawak;x
ASH;The Ashanti;Achanti;Aschantireich;Aszanti;Asante;Asante;Ashanti;Ashanti;Ashanti;Ashanti;Axante;Àøàíòè;Ashanti;x
ASH_ADJ;Ashanti;d'Achanti;Aschanti;Aszanti;de Asante;Asante;Ashanti;Ashanti;Ashanti;Ashanti;Axante;Àøàíòèéñê;Ashanti;x
ASI;The Assiniboine;Assiniboines;Assiniboine;Assiniboinowie;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Os Assiniboine;Àññèíèáîéíû;Assiniboine;x
ASI_ADJ;Assiniboine;Assiniboine;Assiniboine-;Assiniboinów;Assiniboine;di Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Àññèíèáîéíñê;Assiniboine;x
ASM;Assam;Assam;Assam;Asam;Assam;Assam;Assam;Assam;Assam;Assam;Assão;Àññàì;Assam;x
ASM_ADJ;Assamese;Assamais;Assamesisch;Asamu;Assam;Assamese;asszámi;ásámština;asszámi;Assamees;Assamês;Àññàìñê;assami;x
ASR;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Asir;Assir;Àñèğ;Asir;x
ASR_ADJ;Idrisid;Idriside;Idrisiden-;Asira;de Asir;Idriside;Idrisid;Idrisid;Idrisid;Idrisid;Idrísida;èäğèñèäñê;Idrisid;x
ASY;Assyria;Assyrie;Assyrien;Asyria;Asiria;Assiria;Asszíria;Asırii;Asszíria;Assyrië;Assíria;Àññèğèÿ;Assyria;x
ASY_ADJ;Assyrian;Assyrien;Assyrisch;asyryjsk;Asiria;Assira;asszír;Asyrskı;asszír;Assyrisch;Assírio;àññèğèéñê;assyrialainen;x
ATR;Asturias;Asturies;Asturien;Asturia;Asturias;Asturie;Asturias;Asturie;Asturias;Asturië;Astúrias;Àñòóğèÿ;asturias;x
ATR_ADJ;Asturian;Asturien;Asturisch;Asturii;Asturiana;Asturiana;asztúriai;Asturština;asztúriai;Asturische;Asturiano;Àñòóğèéñê;Asturian;x
AUR;Läßinia;Läßinia;Läßinien;Lessinija;Lessinia;Läßinia;Läßinia;Läßinia;Läßinia;Läßinia;Leçinha;Ëåññèíèÿ;Läßinia;x
AUR_ADJ;Läßin;Läßin;Läßein;lessiñsk;Lessina;Läßina;Läßin;Läßin;Läßin;Läßin;Leçino;ëåññèíñê;Läßin;x
AWS;The Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Àôàğ;Afar;x
AWS_ADJ;Afar;Afar;Afar;Afarów;Afar;di Afar;Afar;Afar;Afar;Afar;Afar;àôàğñê;Afar;x
AZT;The Aztecs;Les Aztèques;Die Azteken;Aztekowie;Los Aztecas;Gli Aztechi;az azték;aztéckı;az azték;de Azteekse;Asteca;Àöòåêè;atsteekkien;x
AZT_ADJ;Aztec;Aztèque;Aztekisch;Azteków;Azteca;Azteca;azték;aztéckı;azték;Aztec;Asteca;Àöòåêñê;aztec;x
BAN;Banat;Banat;Banat;Banat;El Banato;Banato;Bánság;Banát;Bánság;Banat;O Banato;Áàíàò;Banat;x
BAN_ADJ;Banat;du Banat;Banatschwäbisch;banack;del Banato;Banatese;Banat;Banát;Banat;Banat;do Banato;áàíàòñê;Banat;x
BAR;Barbados;La Barbade;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;Barbados;Áàğáàäîñ;Barbados;x
BAR_ADJ;Barbadian;Barbadien;Barbadisch;barbadosk;Barbadense;Barbadiana;barbadosi;Barbadskı;barbadosi;Barbadaans;Barbadiano;áàğáàäîññê;Barbadoksen;x
BARB_anarcho_liberal;The Hunnic Faction;Faction Hunnique;Hunnische Fraktion;Frakcja Hunnicka;La Facción Huna;Fazione degli Unni;A hunnik frakció;Hunní frakce;A hunnik frakció;The Hunnic Faction;Facção Huna;Õóííñêàÿ Ôğàêöèÿ;Hunnic Faction;x
BARB_communist;The Scythian Faction;Faction Scythe;Skythische Fraktion;Frakcja Scytyjska;La Facción Escita;Fazione degli Sciti;A szkítikus frakció;Scythian frakce;A szkítikus frakció;De Scythische factie;Facção Cítia;Ñêèôñêàÿ Ôğàêöèÿ;Scythian fraktio;x
BARB_conservative;Wodan’s Faction;Faction de Wodan;Wodans Fraktion;Frakcja Odyna;La Facción de Odín;Fazione di Odino;Wodan frakciója;Wodanova frakce;Wodan frakciója;Wodan's Faction;Facção de Odin;Ôğàêöèÿ Âîäàíà;Wodanin fraktio;x
BARB_conservative_2;The Gothic Faction;Faction Gothique;Gotische Fraktion;Frakcja Gotycka;La Facción Goda;Fazione dei Goti;A gótikus frakció;Gotická frakce;A gótikus frakció;De gotische factie;Facção Gótica;Ãîòè÷åñêàÿ Ôğàêöèÿ;Goottilainen fraktio;x
BARB_conservative_3;The Lombard Faction;Faction Lombarde;Lombardische Fraktion;Frakcja Longobardzka;La Facción Lombarda;Fazione dei Longobardi;A Lombard Frakció;Lombardská frakce;A Lombard Frakció;De Lombard-factie;Facção Lombarda;Ëîìáàğäíàÿ Ôğàêöèÿ;Lombard-fraktio;x
BARB_fascist;The Party of the Dux;Le Parti du Dux;Die Partei des Duxen;Partia Neczelnika;El Partido del Caudillo;Partito dei Duci;A Dux pártja;Strana Dux;A Dux pártja;De partij van de Dux;Partido do Dux;Ïàğòèÿ Äóêñà;Duxin puolue;x
BARB_liberal;The Party of Belisarius;Le Parti de Bélisaire;Die Partei von Belisarius;Partia Belizariusza;El Partido de Belisario;Partito di Belisario;Belisarius pártja;Strana Belisarius;Belisarius pártja;De partij van Belisarius;Partido de Belisário;Ïàğòèÿ Âåëèçàğèÿ;Belisariuksen puolue;x
BARB_liberal_2;The Party of Totila;Le Parti de Totila;Die Partei von Totila;Partia Totila;El Partido de Totila;Partito di Totila;A Totila pártja;Strana Totila;A Totila pártja;De partij van Totila;Partido de Totila;Ïàğòèÿ Òîòèëà;Totilan puolue;x
BARB_liberal_3;The Party of Karl;Le Parti de Charles;Die Partei von Karl;Partia Karola;El Partido Carolingio;Partito di Carlo;Karl pártja;Strana Karla;Karl pártja;De partij van Karl;Partido de Carlos;Ïàğòèÿ Êàğëà;Karlin puolue;x
BARB_reactionary;Old Customs’ Faction;Les Anciennes Mœurs;Fraktion der alten Sitten;Stara Frakcja Starych Celnych;La Facción de las Moras Viejas;Fazione dei Costumi Antichi;Régi Vámok Frakciója;Fráze starıch celníkù;Régi Vámok Frakciója;De factie van de oude douane;Partido das Alfândegas Antigas;Ñòàğàÿ Òàìîæåííàÿ Ôğàêöèÿ;Vanhan tullin fraktio;x
BARB_socialist;The Red Horde;La Horde Rouge;Die Rote Horde;Czerwona Horda;La Horda Roja;L'Orda Rossa;A Vörös Horda;Èervená horda;A Vörös Horda;De rode horde;Horda Vermelha;Êğàñíàÿ Îğäà;Punainen Horde;x
BARB_socialist_2;The Red Senate;Le Sénat Rouge;Der Rote Senat;Czerwony Senat;El Senado Rojo;Il Senato Rosso;A Vörös Szenátus;Èervenı senát;A Vörös Szenátus;De rode senaat;Senado Vermelho;Êğàñíûé Ñåíàò;Punainen senaatti;x
BARB_socialist_3;The Red Faction;La Faction Rouge;Die Rote Fraktion;Czerwona Frakcja;La Facción Roja;La Fazione Rossa;A Red Faction;Èervená frakce;A Red Faction;De rode factie;Facção Vermelha;Êğàñíàÿ Ôğàêöèÿ;Red Faction;x
BEN;Benin;Bénin;Benin;Benin;Benín;Benin;Benin;Benin;Benin;Benin;O Benim;Áåíèí;Benin;x
BEN_ADJ;Benin;Béninois;Beninisch;Beninu;Benin;Beninese;Benin;Benin;Benin;Benin;Beninês;Áåíèíñê;Benin;x
BER;Baroda;Baroda;Baroda;Baroda;Baroda;Beroda;Beroda;Beroda;Beroda;Beroda;Vadodara;Áåğîäà;Beroda;x
BER_ADJ;Barodan;Barodienne;Baroda-;barodañsk;de Baroda;Berodana;Berodan;Berodan;Berodan;Berodan;de Vadodara;áåğîäñê;Berodan;x
BHM;The Bahamas;les Bahamas;die Bahamas;Bahamy;Las Bahamas;Le Bahamas;a Bahamák;Bahamy;a Bahamák;de Bahamas;As Bahamas;Áàãàìñêèå;Bahama-saaret;x
BHM_ADJ;Bahaman;Bahamien;Bahamaisch;bahamsk;Bahameña;Bahamense;Bahaman;Bahaman;Bahaman;Bahaman;Bahamense;áàãàìñê;Bahaman;x
BHR;Bahrain;Bahreïn;Bahrain;Bahrajn;Baréin;Bahrein;Bahrein;Bahrajnu;Bahrein;Bahrein;Barém;Áàõğåéí;Bahrain;x
BHR_ADJ;Bahraini;Bahreïnien;Bahrainisch;bahrañsk;Bareiní;Bahreinese;bahreini;Bahrajnu;bahreini;Bahreinse;Baremita;áàõğåéíñê;Bahrainin;x
BIA;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;Biafra;O Biafra;Áèàôğà;Biafra;x
BIA_ADJ;Biafran;du Biafra;Biafra-;biafrañsk;Biafreña;del Biafra;Biafran;Biafran;Biafran;Biafra;Biafrense;áèàôğèéñê;Biafran;x
BIH;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Bihar;Biar;Áèõàğ;Biharin;x
BIH_ADJ;Bihari;du Bihar;Bihar-;Bihara;Bihari;del Bihar;Bihari;Bihari;Bihari;Bihari;Biari;áèõàğñê;bihari;x
BKF;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burquina Fasso;Áóğêèíà-Ôàñî;Burkina Faso;x
BKF_ADJ;Burkinabé;Burkinabé;Burkinisch;burkiñsk;Burkinesa;Burkinabé;Burkinabé;Burkinabé;Burkinabé;Burkinabé;Burquinense;áóğêèíèéñê;Burkinabé;x
BKV;Bukovina;Bucovine;Bukowina;Bukowina;Bucovina;Bucovina;Bukovina;Bukovina;Bukovina;Bukovina;A Bucóvina;Áóêîâèíà;Bukovina;x
BKV_ADJ;Bukovinian;Bucovinais;Buchenländer;bukowiñsk;de Bucovina;Bucoviniana;bukovinai;Bukovinian;bukovinai;Bukovinian;da Bucóvina;áóêîâèíñê;Bukovinian;x
BLA;The Blackfoot;Pieds-Noirs;Schwarzfuß;Czarne Stopy;Los Pies Negros;Piedi-Neri;Blackfoot;Blackfoot;Blackfoot;Blackfoot;Blackfoot;×åğíîíîãèå;Blackfoot;x
BLA_ADJ;Blackfoot;des Pieds-Noirs;Schwarzfuß-;Czarnych Stóp;de los Pies Negros;dei Piedi-Neri;Blackfoot;Blackfoot;Blackfoot;Blackfoot;Blackfoot;×åğíîíîã;Blackfoot;x
BLC;Baluchistan;Baloutchistan;Belutschistan;Belud¿ystan;Baluchistán;Belucistan;Beludzsisztán;Baluchistan;Beludzsisztán;Baluchistan;Baluchistão;Áåëóäæèñòàí;Baluchistan;x
BLC_ADJ;Baluchi;Baloutchi;Belutschisch;Belud¿ystanu;Baluchi;Belucia;Baluchi;balúcština;Baluchi;Baluchi;Balúchi;Áåëóäæèéñê;belutši;x
BLZ;Belize;Bélize;Belize;Belize;Belice;Belize;Belize;Belize;Belize;Belize;Belize;Áåëèç;Belize;x
BLZ_ADJ;Belizean;Bélizien;Belizisch;belizeñsk;Beliceña;Beliziana;Belizean;Belizean;Belizean;Belizean;Belizenho;áåëèçñê;Belizean;x
BMK;Bamako;Bamako;Bamako;Bamako;Bámako;Bamako;Bamako;Bamako;Bamako;Bamako;Bamako;Áàìàêî;Bamako;x
BMK_ADJ;Bamako;de Bamako;Bamako-;Bamaka;de Bámako;di Bamako;Bamako;Bamako;Bamako;Bamako;de Bamako;áàìàêîíñê;Bamako;x
BNG;Bengal;Bengale;Bengalen;Bengal;Bengala;Bengala;Bengália;Bengálsko;Bengália;Bengalen;Bengala;Áåíãàëèÿ;Bengali;x
BNG_ADJ;Bengali;Bengalais;Bengalisch;Bengalu;Bengalí;Bengalesee;Bengalese;Bengalese;Bengalese;Bengalese;Bengalês;Áåíãàëüñê;Bengalese;x
BRD;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Burundi;Boeroendi;Burúndi;Áóğóíäè;Burundi;x
